,direction,train_dataset,test_dataset,model,f1,f1,accuracy,accuracy,precision,precision,recall,recall,detection_rate,detection_rate,mapping_accuracy,mapping_accuracy,train_time_sec,inference_time_sec,state_count,density
,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,mean,mean,mean
0,BATADAL_to_SKAB,BATADAL,SKAB,Automata_W3_A3,0.3937671088650242,0.0,0.6154154421586963,0.0,0.48345398138572904,0.0,0.3321492007104796,0.0,0.0,0.0,0.0,0.0,0.002209758758544922,0.01179361343383789,27.0,0.0877914951989026
1,BATADAL_to_SKAB,BATADAL,SKAB,Automata_W3_A4,0.14463688848374354,0.0,0.6239647341704515,0.0,0.5,0.0,0.08454706927175844,0.0,1.0,0.0,0.5087719298245614,0.0,0.0019997596740722657,0.33180670738220214,58.0,0.0469678953626635
2,BATADAL_to_SKAB,BATADAL,SKAB,Automata_W3_A5,0.5455799743766631,0.0,0.3840502270905691,0.0,0.37752318603382434,0.0,0.9833037300177618,0.0,1.0,0.0,0.4120734908136483,0.0,0.0026020526885986326,0.5007614612579345,105.0,0.025034013605442173
3,BATADAL_to_SKAB,BATADAL,SKAB,Automata_W3_A6,0.4077591432612649,0.0,0.6084691423991451,0.0,0.4728209934395501,0.0,0.358436944937833,0.0,1.0,0.0,0.4858515750133476,0.0,0.00221400260925293,3.662783145904541,166.0,0.015132820438380027
4,BATADAL_to_SKAB,BATADAL,SKAB,Automata_W4_A3,0.5270625328428796,0.0,0.3585174625801853,0.0,0.35789473684210527,0.0,0.9995017438963627,0.0,1.0,0.0,0.40840517241379304,0.0,0.0020017623901367188,9.388732624053954,71.0,0.026383654036897443
5,BATADAL_to_SKAB,BATADAL,SKAB,Automata_W4_A4,0.5269099501181412,0.0,0.35780470420527444,0.0,0.3576902512921048,0.0,1.0,0.0,1.0,0.0,0.35780470420527444,0.0,0.0024131298065185546,25.074430179595947,153.0,0.01114955786236063
6,BATADAL_to_SKAB,BATADAL,SKAB,Automata_W4_A5,0.5268407927549548,0.0,0.3576265146115467,0.0,0.3576265146115467,0.0,1.0,0.0,1.0,0.0,0.3576265146115467,0.0,0.0023969173431396484,41.880747652053834,259.0,0.005784052116098448
7,BATADAL_to_SKAB,BATADAL,SKAB,Automata_W4_A6,0.5269099501181412,0.0,0.35780470420527444,0.0,0.3576902512921048,0.0,1.0,0.0,1.0,0.0,0.35780470420527444,0.0,0.0022318363189697266,59.337066125869754,361.0,0.0037752933142010886
8,BATADAL_to_SKAB,BATADAL,SKAB,Automata_W5_A3,0.52869793374877,0.0,0.35934016941596075,0.0,0.35934016941596075,0.0,1.0,0.0,1.0,0.0,0.35934016941596075,0.0,0.001996612548828125,34.53733139038086,127.0,0.012338024676049351
9,BATADAL_to_SKAB,BATADAL,SKAB,Automata_W5_A4,0.52869793374877,0.0,0.35934016941596075,0.0,0.35934016941596075,0.0,1.0,0.0,1.0,0.0,0.35934016941596075,0.0,0.0023864269256591796,72.45240054130554,268.0,0.0048451770995767435
10,BATADAL_to_SKAB,BATADAL,SKAB,Automata_W5_A5,0.52869793374877,0.0,0.35934016941596075,0.0,0.35934016941596075,0.0,1.0,0.0,1.0,0.0,0.35934016941596075,0.0,0.0019873619079589845,92.00157885551452,355.0,0.0033802816901408453
11,BATADAL_to_SKAB,BATADAL,SKAB,Automata_W5_A6,0.52869793374877,0.0,0.35934016941596075,0.0,0.35934016941596075,0.0,1.0,0.0,1.0,0.0,0.35934016941596075,0.0,0.002387809753417969,117.34704327583313,428.0,0.002593021224561097
12,BATADAL_to_SKAB,BATADAL,SKAB,Automata_W6_A3,0.5384464879671297,0.0,0.3684069611780455,0.0,0.3684069611780455,0.0,1.0,0.0,1.0,0.0,0.3684069611780455,0.0,0.0019891738891601564,85.34227876663208,225.0,0.005728395061728395
13,BATADAL_to_SKAB,BATADAL,SKAB,Automata_W6_A4,0.5384464879671297,0.0,0.3684069611780455,0.0,0.3684069611780455,0.0,1.0,0.0,1.0,0.0,0.3684069611780455,0.0,0.002188873291015625,111.77891550064086,314.0,0.003620836545093107
14,BATADAL_to_SKAB,BATADAL,SKAB,Automata_W6_A5,0.5384464879671297,0.0,0.3684069611780455,0.0,0.3684069611780455,0.0,1.0,0.0,1.0,0.0,0.3684069611780455,0.0,0.002584362030029297,129.42753777503967,375.0,0.0028017777777777776
15,BATADAL_to_SKAB,BATADAL,SKAB,Automata_W6_A6,0.5384464879671297,0.0,0.3684069611780455,0.0,0.3684069611780455,0.0,1.0,0.0,1.0,0.0,0.3684069611780455,0.0,0.0021981239318847657,156.47373294830322,393.0,0.002602800924577045
16,SKAB_to_BATADAL,SKAB,BATADAL,Automata_W3_A3,0.0,0.0,0.043795620437956206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044258499145507814,0.02855992317199707,17.0,0.11764705882352941
17,SKAB_to_BATADAL,SKAB,BATADAL,Automata_W3_A4,0.0,0.0,0.072992700729927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06521739130434782,0.0,0.042618513107299805,0.055573654174804685,32.0,0.0615234375
18,SKAB_to_BATADAL,SKAB,BATADAL,Automata_W3_A5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04323625564575195,0.08634443283081054,41.0,0.049970255800118976
19,SKAB_to_BATADAL,SKAB,BATADAL,Automata_W3_A6,0.0,0.0,0.010948905109489052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.042393732070922854,0.10978574752807617,51.0,0.03806228373702422
20,SKAB_to_BATADAL,SKAB,BATADAL,Automata_W4_A3,0.0,0.0,0.019704433497536946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019704433497536946,0.0,0.041019868850708005,0.17536425590515137,36.0,0.051697530864197525
21,SKAB_to_BATADAL,SKAB,BATADAL,Automata_W4_A4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039995861053466794,0.3676455974578857,66.0,0.028236914600550965
22,SKAB_to_BATADAL,SKAB,BATADAL,Automata_W4_A5,0.0,0.0,0.0049261083743842365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0049261083743842365,0.0,0.03999152183532715,0.4979264259338379,88.0,0.021177685950413222
23,SKAB_to_BATADAL,SKAB,BATADAL,Automata_W4_A6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04040660858154297,0.5793466091156005,102.0,0.018166089965397925
24,SKAB_to_BATADAL,SKAB,BATADAL,Automata_W5_A3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038812446594238284,0.5827104568481445,68.0,0.02508650519031142
25,SKAB_to_BATADAL,SKAB,BATADAL,Automata_W5_A4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039210033416748044,1.0604315757751466,121.0,0.015299501400177584
26,SKAB_to_BATADAL,SKAB,BATADAL,Automata_W5_A5,0.0,0.0,0.006289308176100629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006289308176100629,0.0,0.04040493965148926,1.4402516841888429,162.0,0.01047858558146624
27,SKAB_to_BATADAL,SKAB,BATADAL,Automata_W5_A6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04059567451477051,1.7383549690246582,195.0,0.008783694937541092
28,SKAB_to_BATADAL,SKAB,BATADAL,Automata_W6_A3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03772711753845215,1.3034932613372803,106.0,0.014773940904236383
29,SKAB_to_BATADAL,SKAB,BATADAL,Automata_W6_A4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038154315948486325,2.53657922744751,206.0,0.007870675841266848
30,SKAB_to_BATADAL,SKAB,BATADAL,Automata_W6_A5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038373279571533206,3.285110092163086,269.0,0.005707494368513426
31,SKAB_to_BATADAL,SKAB,BATADAL,Automata_W6_A6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03799762725830078,3.650803804397583,300.0,0.005177777777777778
