model,seed,f1,precision,recall,accuracy,threshold
LSTM-AE,42,0.5333333333333333,0.36363636363636365,1.0,0.8319327731092437,0.0036086035682425166
LSTM-AE,123,0.4419889502762431,0.28368794326241137,1.0,0.7575030012004802,0.002901418700861601
LSTM-AE,2026,0.5860805860805861,0.41450777202072536,1.0,0.8643457382953181,0.005125945580894352
LSTM-AE,7,0.599250936329588,0.42780748663101603,1.0,0.8715486194477791,0.004928065269269936
LSTM-AE,999,0.7117117117117117,0.5563380281690141,0.9875,0.9231692677070829,0.0063531477109655355
