,dataset,scenario,model,f1,f1,accuracy,accuracy,precision,precision,recall,recall,detection_rate,detection_rate,mapping_accuracy,mapping_accuracy,unseen_window_count,train_time_sec,inference_time_sec,state_count,density
,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,mean,mean,mean,mean
21,BATADAL_CHRON,Original,Automata_W3_A5,0.0,0.0,0.46715328467153283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,23.0,0.002319145202636719,0.01020355224609375,105.0,0.025034013605442173
22,BATADAL_CHRON,Original,Automata_W3_A6,0.0,0.0,0.3722627737226277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,50.0,0.002446889877319336,0.03455162048339844,166.0,0.015132820438380027
23,BATADAL_CHRON,Original,Automata_W4_A3,0.0,0.0,0.625615763546798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,25.0,0.0021866798400878907,0.013561296463012695,71.0,0.026383654036897443
24,BATADAL_CHRON,Original,Automata_W4_A4,0.0,0.0,0.31527093596059114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02127659574468085,0.0,94.0,0.0022462844848632813,0.17295923233032226,153.0,0.01114955786236063
25,BATADAL_CHRON,Original,Automata_W4_A5,0.0,0.0,0.11330049261083744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025974025974025976,0.0,154.0,0.0033730030059814452,0.5313967704772949,259.0,0.005784052116098448
26,BATADAL_CHRON,Original,Automata_W4_A6,0.0,0.0,0.10837438423645321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011904761904761904,0.0,168.0,0.002620697021484375,0.9594871520996093,361.0,0.0037752933142010886
27,BATADAL_CHRON,Original,Automata_W5_A3,0.0,0.0,0.5660377358490566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,28.0,0.002216625213623047,0.07447938919067383,127.0,0.012338024676049351
28,BATADAL_CHRON,Original,Automata_W5_A4,0.0,0.0,0.16981132075471697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008771929824561403,0.0,114.0,0.0023185253143310548,0.7467628479003906,268.0,0.0048451770995767435
29,BATADAL_CHRON,Original,Automata_W5_A5,0.0,0.0,0.050314465408805034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014084507042253521,0.0,142.0,0.002419900894165039,1.6809337139129639,355.0,0.0033802816901408453
30,BATADAL_CHRON,Original,Automata_W5_A6,0.0,0.0,0.012578616352201259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00641025641025641,0.0,156.0,0.0024631500244140627,2.5031535625457764,428.0,0.002593021224561097
